Sensor, Electrode, MCU Pin, Package Pin
keypadSensor,RX00,CAP0.0,12
keypadSensor,RX04,CAP0.1,13
sliderSensor,RX00,CAP0.2,14
wheelSensor,RX00,CAP0.3,15
keypadSensor,RX01,CAP1.0,16
keypadSensor,RX05,CAP1.1,17
sliderSensor,RX01,CAP1.2,18
wheelSensor,RX01,CAP1.3,19
keypadSensor,RX02,CAP2.0,21
keypadSensor,RX06,CAP2.1,22
sliderSensor,RX02,CAP2.2,23
wheelSensor,RX02,CAP2.3,24
keypadSensor,RX03,CAP3.0,25
keypadSensor,RX07,CAP3.1,26
sliderSensor,RX03,CAP3.2,27
proximitySensor,RX00,CAP3.3,28
