Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 204500  Y 204500
X 215000  Y 220000
X 215000  Y 230000
X 215000  Y 240000
X 215000  Y 250000
X 215000  Y 260000
X 215000  Y 270000
X 215000  Y 280000
X 215000  Y 290000
X 215000  Y 300000
X 215000  Y 310000
X 215000  Y 320000
X 206000  Y 328000
X 254000  Y 327500
X 242500  Y 322000
X 242000  Y 310000
X 241000  Y 300000
X 247500  Y 300000
X 241000  Y 290000
X 247500  Y 290000
X 247500  Y 280000
X 240500  Y 279500
X 240500  Y 261500
X 241000  Y 250000
X 240500  Y 240000
X 242500  Y 218500
X 249000  Y 211500
X 258000  Y 206000
X 265000  Y 209500
X 257000  Y 212000
X 271500  Y 219500
X 258000  Y 227500
X 274000  Y 236000
X 259000  Y 246000
X 276000  Y 246000
X 275000  Y 259500
X 257500  Y 282000
X 259000  Y 293000
X 275000  Y 298000
X 255500  Y 299000
X 262000  Y 299500
X 262000  Y 305500
X 261000  Y 331000
X 272000  Y 331000
X 281500  Y 331000
X 295000  Y 331000
X 287000  Y 325000
X 293500  Y 325000
X 280500  Y 324500
X 280000  Y 319500
X 281000  Y 315500
X 298000  Y 311500
X 281000  Y 311000
X 300500  Y 297000
X 285000  Y 290000
X 288000  Y 279500
X 294500  Y 275000
X 288000  Y 273000
X 288000  Y 266500
X 298000  Y 248000
X 293500  Y 239000
X 287000  Y 233500
X 292500  Y 233000
X 283000  Y 232500
X 302000  Y 228000
X 296000  Y 224500
X 295000  Y 221000
X 295000  Y 210500
X 281500  Y 209000
X 321000  Y 232500
X 324000  Y 249000
X 310500  Y 259500
X 328500  Y 260500
X 316000  Y 271500
X 326000  Y 291500
X 321000  Y 294000
X 309000  Y 295000
X 311000  Y 298000
X 327500  Y 299500
X 308500  Y 303000
X 328500  Y 305000
X 310500  Y 307000
X 321000  Y 309000
X 327000  Y 316500
X 320000  Y 318500
X 325500  Y 321500
X 313500  Y 324000
X 311500  Y 328000
X 323000  Y 329500
X 341500  Y 325500
X 349000  Y 324500
X 333000  Y 316500
X 351000  Y 293000
X 333500  Y 290000
X 330500  Y 285500
X 342500  Y 275000
X 349000  Y 247000
X 333000  Y 230500
X 346500  Y 227500
X 351500  Y 216500
X 334000  Y 215500
X 337000  Y 207500
X 363000  Y 220000
X 369500  Y 220000
X 369500  Y 228500
X 361000  Y 230000
X 362500  Y 240000
X 369000  Y 240000
X 361500  Y 250000
X 362500  Y 260000
X 369500  Y 280000
X 369500  Y 290000
X 369500  Y 301000
X 362500  Y 310000
X 369000  Y 311000
X 362500  Y 320000
X 369000  Y 320000
X 367500  Y 331000
X 395000  Y 320000
X 395000  Y 310000
X 395000  Y 300000
X 395000  Y 290000
X 395000  Y 280000
X 395000  Y 270000
X 395000  Y 260000
X 395000  Y 250000
X 395000  Y 240000
X 395000  Y 230000
X 399000  Y 213500
X 403000  Y 205500
X 405000  Y 330000

Drill: .02  Tool: 2  Feed: 197  Speed: 550
X 280000  Y 225000
X 280000  Y 245000
X 285000  Y 260000
X 280000  Y 275000
X 276000  Y 310000
X 320500  Y 305000
X 340000  Y 285000
X 340000  Y 245000

Drill: .038  Tool: 3  Feed: 197  Speed: 550
X 250000  Y 225000
X 250000  Y 235000
X 250000  Y 245000
X 250000  Y 255000
X 250000  Y 265000
X 250000  Y 275000
X 250000  Y 285000
X 250000  Y 295000
X 250000  Y 305000
X 250000  Y 315000
X 360000  Y 315000
X 360000  Y 305000
X 360000  Y 295000
X 360000  Y 285000
X 360000  Y 275000
X 360000  Y 265000
X 360000  Y 255000
X 360000  Y 245000
X 360000  Y 235000
X 360000  Y 225000

End of Listing
