BATT  7.62 60.88   0  JST-2-SMD
C1 16.76 28.19 270 10uF C0603
C2 10.16 28.19 270 10uF C0603
C3 14.73 51.82  90 1uF C0603
C6 17.02 51.82  90 0.47uF C0603
C8 35.84 25.65 270 1uF C0603
C9 25.91 28.19 270 10uF C0603
C10 19.05 28.19 270 10uF C0603
C11 12.45 37.85  90 0.47uF C0603
C12 21.32 37.85  90 0.47uF C0603
C13 30.99 25.65 270 1uF C0603
C14 32.51 25.65 270 33nF C0603
C15 28.63 34.80 180 22uF C0603
C16 32.00 37.85  90 1uF C0603
C17 29.46 25.65 270 1uF C0603
L1 22.42 27.57   0 2.2uH VLF4102A
L2 13.53 27.83   0 2.2uH VLF4102A
L3 29.36 31.45  90 1uH L3216C
LED2 24.13 64.06   0 YELLOW RIGHTANGLE_1208
R1 34.03 25.66 270 270 R0603
R2 33.78 64.26 180 0 R0603
R3 30.99 56.39   0 1k R0603
R4 34.04 37.85 270 500 R0603
R5  9.91 18.29 180 5.1k R0603
R6  9.91 11.68 180 5.1k R0603
R7 27.18 53.59   0 5.1k R0603
R8 46.86 52.07   0 10K R0603
R10 21.59 48.26 180 0.01 R1206
R11 40.89 30.48   0 0 R0603
R12 40.64 19.81   0 0 R0603
R13 40.89 33.02   0 0 R0603
R14 27.18 51.82   0 1.8M R0603
R15 38.11 37.84 270 5.1K R0603
R16 36.07 37.84 270 7.5K R0603
R17 14.48 37.85 270 DNP R0603
R18 16.16 37.84  90 10K R0603
R19 24.89 37.85 270 DNP R0603
R20 23.37 37.84  90 10K R0603
R21 33.78 20.32  90 274k R0603
R22 35.81 20.32 270 100k R0603
R23  9.91 16.26 180 200 R0603
R24  9.91 13.72 180 200 R0603
R25 40.64 22.86   0 0 R0603
R26 40.64 25.91   0 0 R0603
R27 40.89 35.56   0 0 R0603
R28 26.52 37.85 270 0 R0603
R29 40.64 21.34 180 10K R0603
R30 40.64 24.38 180 10K R0603
R31 40.64 27.43 180 10K R0603
R32 10.16 33.02  90 0R R0805
R33 19.30 33.02  90 0R R0805
U1 21.59 51.94 270 BQ27441DRZ DRZ12
U2 34.21 31.70  90 BQ24250RGE TI_RGE24
U3 14.22 33.02   0 TPS63001 DRC-S-PVSON-N10
U4 23.11 33.02   0 TPS63002 DRC-S-PVSON-N10
USB 43.18 62.92 180 CONN_USB_MICRO_B USB_MICRO_B_SMT
