Time(ms),Voltage(mV),Current(nA),Energy(uJ)
5,3300,2.2896e+006,3.77783
5.5,3300,2.2896e+006,7.55565
6,3300,2.2896e+006,11.7547
6.5,3300,2.2896e+006,19.3234
7,3300,2.2896e+006,27.3133
7.5,3300,3.8213e+006,35.3032
8,3300,3.8213e+006,42.8719
8.5,3300,3.8213e+006,50.4406
9,3300,3.8213e+006,58.0093
9.5,3300,4.5871e+006,65.578
10,3300,4.5871e+006,73.9891
10.5,3300,4.5871e+006,81.979
11,3300,4.5871e+006,89.5477
11.5,3300,4.8424e+006,97.5376
12,3300,4.8424e+006,105.106
12.5,3300,4.8424e+006,112.675
13,3300,4.8424e+006,120.665
13.5,3300,4.7785e+006,129.076
14,3300,4.7785e+006,137.066
14.5,3300,4.7785e+006,145.056
15,3300,4.7785e+006,153.467
15.5,3300,4.97e+006,161.878
16,3300,4.97e+006,171.132
16.5,3300,4.97e+006,179.543
17,3300,5.2678e+006,187.954
17.5,3300,5.2678e+006,195.944
18,3300,5.2678e+006,204.355
18.5,3300,5.2678e+006,212.345
19,3300,4.8424e+006,219.913
19.5,3300,4.8424e+006,227.482
20,3300,4.8424e+006,235.051
20.5,3300,4.8424e+006,243.041
21,3300,4.5871e+006,250.188
21.5,3300,4.5871e+006,253.545
22,3300,4.5871e+006,257.323
22.5,3300,4.5871e+006,261.1
23,3300,4.5871e+006,264.457
23.5,3300,4.5871e+006,268.235
24,3300,4.5871e+006,272.013
24.5,3300,4.5871e+006,275.369
25,3300,2.1939e+006,279.147
25.5,3300,2.1939e+006,282.925
26,3300,2.1939e+006,286.282
26.5,3300,2.1939e+006,290.059
27,3300,2.1939e+006,293.416
27.5,3300,2.1939e+006,297.194
28,3300,2.1939e+006,300.972
28.5,3300,2.1939e+006,304.328
29,3300,2.1939e+006,308.106
29.5,3300,2.1939e+006,311.463
30,3300,2.1939e+006,315.241
30.5,3300,2.1939e+006,319.018
31,3300,2.1939e+006,322.375
31.5,3300,2.1939e+006,327.417
32,3300,3.6085e+006,343.831
32.5,3300,3.6085e+006,365.299
33,3300,1.25007e+007,385.083
33.5,3300,1.25007e+007,396.864
34,3300,1.25007e+007,408.223
34.5,3300,7.0548e+006,420.004
35,3300,7.0548e+006,431.364
35.5,3300,7.0548e+006,443.144
36,3300,7.0548e+006,454.925
36.5,3300,7.0548e+006,466.706
37,3300,7.0548e+006,478.487
37.5,3300,7.0548e+006,489.846
38,3300,7.0548e+006,501.627
38.5,3300,7.0548e+006,513.408
39,3300,7.0548e+006,524.767
39.5,3300,7.0548e+006,536.548
40,3300,7.0548e+006,545.38
40.5,3300,7.0548e+006,549.158
41,3300,4.268e+006,552.936
41.5,3300,4.268e+006,556.293
42,3300,4.268e+006,560.071
42.5,3300,4.268e+006,563.427
43,3300,4.268e+006,567.205
43.5,3300,4.268e+006,570.983
44,3300,4.268e+006,574.339
44.5,3300,4.268e+006,578.117
45,3300,2.162e+006,581.474
45.5,3300,2.162e+006,585.252
46,3300,2.162e+006,589.03
46.5,3300,2.162e+006,592.386
47,3300,2.162e+006,596.164
47.5,3300,2.162e+006,599.942
48,3300,2.162e+006,603.298
48.5,3300,2.2167e+006,607.076
49,3300,2.2167e+006,610.433
49.5,3300,2.2167e+006,614.211
50,3300,2.2167e+006,617.989
50.5,3300,2.2167e+006,621.345
51,3300,2.2167e+006,625.123
51.5,3300,2.2167e+006,628.48
52,3300,2.2167e+006,632.257
52.5,3300,2.1939e+006,636.035
53,3300,2.1939e+006,639.813
53.5,3300,2.1939e+006,643.17
54,3300,2.1939e+006,646.947
54.5,3300,2.1939e+006,650.304
55,3300,2.1939e+006,654.082
55.5,3300,2.1939e+006,657.86
56,3300,2.1939e+006,661.216
56.5,3300,2.1939e+006,664.994
57,3300,2.1939e+006,668.351
57.5,3300,2.1939e+006,672.129
58,3300,2.1939e+006,675.906
58.5,3300,2.1939e+006,679.263
59,3300,2.1939e+006,683.041
59.5,3300,2.1939e+006,686.398
60,3300,2.1939e+006,690.175
60.5,3300,2.1939e+006,693.953
61,3300,2.1939e+006,697.31
61.5,3300,2.1939e+006,701.088
62,3300,2.1939e+006,704.444
62.5,3300,2.1939e+006,708.222
63,3300,2.1939e+006,712
63.5,3300,2.1939e+006,715.356
64,3300,2.1939e+006,719.134
64.5,3300,2.1939e+006,722.912
65,3300,2.1939e+006,726.269
65.5,3300,2.1939e+006,730.047
66,3300,2.1939e+006,733.403
66.5,3300,2.1939e+006,737.181
67,3300,2.1939e+006,740.959
67.5,3300,2.1939e+006,744.315
68,3300,2.1939e+006,748.093
68.5,3300,2.1939e+006,751.871
69,3300,2.1939e+006,755.228
69.5,3300,2.1939e+006,759.006
70,3300,2.1939e+006,762.783
70.5,3300,2.1939e+006,766.14
71,3300,2.1939e+006,769.918
71.5,3300,2.1939e+006,773.696
72,3300,2.1939e+006,777.052
72.5,3300,2.1939e+006,780.83
73,3300,2.1939e+006,784.187
73.5,3300,2.1939e+006,787.965
74,3300,2.1939e+006,791.321
74.5,3300,2.1939e+006,795.099
75,3300,2.1939e+006,798.877
75.5,3300,2.1939e+006,802.233
76,3300,2.1939e+006,806.011
76.5,3300,2.1939e+006,809.789
77,3300,2.1939e+006,813.146
77.5,3300,2.1939e+006,816.924
78,3300,2.1939e+006,820.28
78.5,3300,2.1939e+006,824.058
79,3300,2.1939e+006,827.836
79.5,3300,2.1939e+006,831.192
80,3300,2.1939e+006,834.97
80.5,3300,2.162e+006,838.327
81,3300,2.162e+006,842.105
81.5,3300,2.162e+006,845.883
82,3300,2.162e+006,849.239
82.5,3300,2.162e+006,853.017
83,3300,2.162e+006,856.374
83.5,3300,2.162e+006,860.151
84,3300,2.2167e+006,863.929
84.5,3300,2.2167e+006,867.707
85,3300,2.2167e+006,871.906
85.5,3300,2.2167e+006,876.105
86,3300,2.2167e+006,880.304
86.5,3300,2.2167e+006,884.503
87,3300,2.2167e+006,888.702
87.5,3300,2.5084e+006,892.901
88,3300,2.5084e+006,897.1
88.5,3300,2.5084e+006,900.878
89,3300,2.5084e+006,905.077
89.5,3300,2.5084e+006,909.276
90,3300,2.5084e+006,913.475
90.5,3300,2.5084e+006,917.674
91,3300,2.5084e+006,921.873
91.5,3300,2.5084e+006,926.072
92,3300,2.5084e+006,930.271
92.5,3300,2.5084e+006,934.47
93,3300,2.5084e+006,938.669
93.5,3300,2.5084e+006,943.711
94,3300,2.6725e+006,948.331
94.5,3300,2.6725e+006,952.951
95,3300,2.6725e+006,957.993
95.5,3300,2.6725e+006,962.613
96,3300,2.6725e+006,967.654
96.5,3300,2.6725e+006,972.275
97,3300,2.8852e+006,976.895
97.5,3300,2.8852e+006,981.515
98,3300,2.8852e+006,985.714
98.5,3300,2.8852e+006,989.913
99,3300,2.8852e+006,994.112
99.5,3300,2.8852e+006,999.575
100,3300,3.1405e+006,1007.99
100.5,3300,3.1405e+006,1015.13
101,3300,3.1405e+006,1022.28
101.5,3300,3.1405e+006,1029.43
102,3300,4.3318e+006,1036.58
102.5,3300,4.3318e+006,1043.72
103,3300,4.3318e+006,1050.87
103.5,3300,4.3318e+006,1058.86
104,3300,4.4595e+006,1066.01
104.5,3300,4.4595e+006,1073.16
105,3300,4.4595e+006,1080.3
105.5,3300,4.4595e+006,1087.45
